# Rufana client pack, снят 2026-08-14 с «Fabric 1.21.11»
# модов: 72 (+instantlore своим каналом)
# file	modid	version	sha512	url
polytone-fabric-1.21.11-5.7.2.jar	polytone	1.21.11-5.7.2	80569465dd995a6a833fe5ed080889f231ea6c24dc2304a2685a570d01bf3bfe8057fc474e2a6239c4974ce5fc80ee815cef066e80f885e055e080b8bd8c54e3	https://cdn.modrinth.com/data/3qAYkBMB/versions/TjXRfnHS/polytone-fabric-1.21.11-5.7.2.jar
puzzle-fabric-2.3.0+1.21.11.jar	puzzle	2.3.0	f8b55899f1c29f8c3387b009d7a80cdbb57d51184da4b7c680172102f1958bc5f86a501ca9987ea20ffc48222afcfa8a0d8db9042d3d4c0ae682e598441c6068	https://cdn.modrinth.com/data/3IuO68q1/versions/Y9KybGCk/puzzle-fabric-2.3.0%2B1.21.11.jar
reactivemusic-1.2.2+1.21.11.jar	reactivemusic	1.2.2+1.21.11	2fa35990a893d8f82a5120ab32193fe51a4669a48097d65c0acc848a007dd79f350a30b93b75ddc2147fc54574479e7413083b208fa639098ff1b6362c3f44ca	https://cdn.modrinth.com/data/Bqnfeesx/versions/QXXXw01C/reactivemusic-1.2.2%2B1.21.11.jar
reeses-sodium-options-fabric-2.0.3+mc1.21.11.jar	reeses-sodium-options	2.0.3+mc1.21.11	13b54698be3cbecdcf544ff92186423652c6b1e91544864c979f51297a3159137f794db4e3ee21e0bae3abcf651bb4ecc0e2a5b4aa1eab1f1a81d6529fe82e59	https://cdn.modrinth.com/data/Bh37bMuy/versions/yIgAFMna/reeses-sodium-options-fabric-2.0.3%2Bmc1.21.11.jar
RoughlyEnoughItems-21.11.816-fabric.jar	roughlyenoughitems	21.11.816	148faa891db9868594dde20581530d76da88e15044ddf715c25f16a18399e9bff1ac368e947aff6be01efb05b28bc3872d1a44786e1ffeedd9f50733cb513a55	https://cdn.modrinth.com/data/nfn13YXA/versions/QEiKPzyl/RoughlyEnoughItems-21.11.816-fabric.jar
rrlsFabric-5.1.15+mc.1.21.11.jar	rrls	5.1.15+mc.1.21.11	7f45e1ff141bd8a93bcebb1fe8ed612cdfc673253ff7952f1a0141ba01a8cae1c5d044a73b9f0b84a93b0db4b7f41a089ca8651900def7a1dcfac29cf63d135a	https://cdn.modrinth.com/data/ZP7xHXtw/versions/TCSbq6jC/rrlsFabric-5.1.15%2Bmc.1.21.11.jar
skyboxify-2.8+1.21.11-fabric.jar	skyboxify	2.8	29b36c8ce204b65e2032a60f2c861b108f0e28f9961db2a35334bcc27e0733ce17781555a55d1e736f325ef988e94d0675eab06844a975c5cab39c5398e7c153	https://cdn.modrinth.com/data/DWuwk8aA/versions/75Ss7wMm/skyboxify-2.8%2B1.21.11-fabric.jar
sodium-extra-fabric-0.8.3+mc1.21.11.jar	sodium-extra	0.8.3+mc1.21.11	b268a22ec7d27a45142f839ecf9a902c4ead4a5ef01e480f9e042f700a75a12a0db6346914f5445be68136b849a068de88d54823444c5d13268cfc0661854465	https://cdn.modrinth.com/data/PtjYWJkn/versions/yqY1efrC/sodium-extra-fabric-0.8.3%2Bmc1.21.11.jar
sodium-fabric-0.8.12+mc1.21.11.jar	sodium	0.8.12+mc1.21.11	17fdb8240670d069e9bb4d00cd3d17afe28ea3f7ea7daf27fd32844f302516e7a889686429db81f2c7b73ad4afce703cac8963a8c3943cfebf45d2c570bd8256	https://cdn.modrinth.com/data/AANobbMI/versions/NFkjnzWE/sodium-fabric-0.8.12%2Bmc1.21.11.jar
sodium-shadowy-path-blocks-fabric-6.0.0.jar	sspb	6.0.0	a8a5dea1593e15052c671e477b04c36b91ceac9dc6f590792aa70ac591b1ba37fe49f1dbec94e8836a2010d476dcbc689d929fee520c75961901e799ae8c05b8	https://cdn.modrinth.com/data/EIa1eiMm/versions/LpF3DIUM/sodium-shadowy-path-blocks-fabric-6.0.0.jar
Stellarity-5.3.0.jar	stellarity	5.3.0	1a08875f265bccfd49be948125ce657dcd6d0691a9add665a39e371a864004a0463e538ae3512676ccd6e467ac1ed8b5e20402b11fcfc9ee826982d278c47393	https://cdn.modrinth.com/data/bZgeDzN8/versions/QYcLm4ck/Stellarity-5.3.0.jar
trmt-0.5.1-1.21.11-fabric.jar	trmt	0.5.1-1.21.11-fabric	b62997dd7b8dbe2999154f6a5f068f11502399fdffe04edb24615571290170e61947116f708d723d38fe15ab5f477c8e045595a23cb2aa04311e00d9ace01e66	https://cdn.modrinth.com/data/74oZhrEe/versions/Nx1ojoWo/trmt-0.5.1-1.21.11-fabric.jar
voicechat-fabric-1.21.11-2.6.16.jar	voicechat	1.21.11-2.6.16	f2d7485c238cb081124af22c1d6c8c6779d5a2b831a4b766a0f6d710551c37667f879d82277620c43f9bc677de91b2231ff7ba1217b12e715e081148b303c0be	https://cdn.modrinth.com/data/9eGKb6K1/versions/KtAJ2LmQ/voicechat-fabric-1.21.11-2.6.16.jar
waystones-fabric-1.21.11-21.11.9.jar	waystones	21.11.9	047049d8c97c2acdf33c9abaaa6fa2da0ac4c57f81a4961a25c3d58addc6adfcdcc793a7bf6ca1b379312ace69f48b0d7c383b5f1d4309919178632b46ded978	https://cdn.modrinth.com/data/LOpKHB2A/versions/MydMW2TT/waystones-fabric-1.21.11-21.11.9.jar
xaerominimap-fabric-1.21.11-25.3.12.jar	xaerominimap	25.3.12	5072fe7d02471956d227b834ee1fa5b1a752f7546cf880c99e32790f09b3b13143c5c16c99b3ba39e0de8a8e6d46f37f1bb3a88ff0fa41207ccce5deae45681b	https://cdn.modrinth.com/data/1bokaNcj/versions/q5DQinHS/xaerominimap-fabric-1.21.11-25.3.12.jar
xaeroworldmap-fabric-1.21.11-1.40.16.jar	xaeroworldmap	1.40.16	70bb88a05f8b36dfa39ef971d3e757beeb6845e674d2cfa337fa0a48f003bdc7fe4f6af1f0fa0dfd0ab17593df4f4348528d7952781abeb6a46cff00d693520b	https://cdn.modrinth.com/data/NcUtCpym/versions/vOQ76ooY/xaeroworldmap-fabric-1.21.11-1.40.16.jar
yet_another_config_lib_v3-3.8.2+1.21.11-fabric.jar	yet_another_config_lib_v3	3.8.2+1.21.11-fabric	392db7d471030cca27483ecf58c626a14cd73d71a18afe6d4173c6b030948b8a925b36e708d4cc2c897dfa3f20a7f23b999fc18aa6d36c156da29037601153ac	https://cdn.modrinth.com/data/1eAoo2KR/versions/pHWDw3Vc/yet_another_config_lib_v3-3.8.2%2B1.21.11-fabric.jar
zoomify-2.15.2+1.21.11.jar	zoomify	2.15.2+1.21.11	de9d6097445175f6ef3e93475136fd67d29fc14fd26a6f19e63714efa6cf0961af5d270a95b65c4099a38517c3f91815fe4a1aa21b0acd84230398be2a6e3e24	https://cdn.modrinth.com/data/w7ThoJFB/versions/gI5KZI8V/zoomify-2.15.2%2B1.21.11.jar
